,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
552,,,61371,,1,,Combined Cycle,,,,,,,,400.0,6372.927757,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Gas,,,,,,,,,,,3.6509190329230177,119.0,,,,,,,,,p63,4.0,127.2,40835.92707870164,160.0,0.0,13580.059150000001,2.910012674,26.1770559174747,1,0.0,1,1,2030,False,,,61371+1,atb,Gas-CC-AvgCF - Mid,thermal,953514.1529,Yes,0.003,0.035,55.0,,,,CC
553,,,61372,,1,,Combined Cycle,,,,,,,,400.0,6372.927757,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Gas,,,,,,,,,,,3.6509190329230177,119.0,,,,,,,,,p63,4.0,127.2,40835.92707870164,160.0,0.0,13580.059150000001,2.910012674,26.1770559174747,1,0.0,1,1,2030,False,,,61372+1,atb,Gas-CC-AvgCF - Mid,thermal,953514.1529,Yes,0.003,0.035,55.0,,,,CC
554,,,61373,,1,,Combined Cycle,,,,,,,,400.0,6372.927757,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Gas,,,,,,,,,,,3.6509190329230177,119.0,,,,,,,,,p63,4.0,127.2,40835.92707870164,160.0,0.0,13580.059150000001,2.910012674,26.1770559174747,1,0.0,1,1,2030,False,,,61373+1,atb,Gas-CC-AvgCF - Mid,thermal,953514.1529,Yes,0.003,0.035,55.0,,,,CC
555,,,61374,,1,,Combined Cycle,,,,,,,,400.0,6372.927757,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Gas,,,,,,,,,,,3.6509190329230177,119.0,,,,,,,,,p63,4.0,127.2,40835.92707870164,160.0,0.0,13580.059150000001,2.910012674,26.1770559174747,1,0.0,1,1,2030,False,,,61374+1,atb,Gas-CC-AvgCF - Mid,thermal,953514.1529,Yes,0.003,0.035,55.0,,,,CC
556,,,61375,,1,,Combined Cycle,,,,,,,,400.0,6372.927757,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Gas,,,,,,,,,,,3.6509190329230177,119.0,,,,,,,,,p63,4.0,127.2,40835.92707870164,160.0,0.0,13580.059150000001,2.910012674,26.1770559174747,1,0.0,1,1,2030,False,,,61375+1,atb,Gas-CC-AvgCF - Mid,thermal,953514.1529,Yes,0.003,0.035,55.0,,,,CC
557,,,61376,,1,,Combined Cycle,,,,,,,,400.0,6372.927757,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Gas,,,,,,,,,,,3.6509190329230177,119.0,,,,,,,,,p63,4.0,127.2,40835.92707870164,160.0,0.0,13580.059150000001,2.910012674,26.1770559174747,1,0.0,1,1,2030,False,,,61376+1,atb,Gas-CC-AvgCF - Mid,thermal,953514.1529,Yes,0.003,0.035,55.0,,,,CC
558,,,61377,,1,,Combined Cycle,,,,,,,,400.0,6372.927757,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Gas,,,,,,,,,,,3.6509190329230177,119.0,,,,,,,,,p63,4.0,127.2,40835.92707870164,160.0,0.0,13580.059150000001,2.910012674,26.1770559174747,1,0.0,1,1,2030,False,,,61377+1,atb,Gas-CC-AvgCF - Mid,thermal,953514.1529,Yes,0.003,0.035,55.0,,,,CC
559,,,61378,,1,,Combined Cycle,,,,,,,,400.0,6372.927757,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Gas,,,,,,,,,,,3.6509190329230177,119.0,,,,,,,,,p63,4.0,127.2,40835.92707870164,160.0,0.0,13580.059150000001,2.910012674,26.1770559174747,1,0.0,1,1,2030,False,,,61378+1,atb,Gas-CC-AvgCF - Mid,thermal,953514.1529,Yes,0.003,0.035,55.0,,,,CC
560,,,61379,,1,,Combined Cycle,,,,,,,,59.50683073344294,6372.927757,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Gas,,,,,,,,,,,3.6509190329230177,119.0,,,,,,,,,p63,4.0,127.2,40835.92707870164,160.0,0.0,13580.059150000001,2.910012674,26.1770559174747,1,0.0,1,1,2030,False,,,61379+1,atb,Gas-CC-AvgCF - Mid,thermal,953514.1529,Yes,0.003,0.035,55.0,,,,CC
561,,,61380,,1,,Combined Cycle,,,,,,,,400.0,6372.927757,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Gas,,,,,,,,,,,3.6509190329230177,119.0,,,,,,,,,p64,4.0,127.2,40835.92707870164,160.0,0.0,13580.059150000001,2.910012674,26.1770559174747,1,0.0,1,1,2030,False,,,61380+1,atb,Gas-CC-AvgCF - Mid,thermal,953514.1529,Yes,0.003,0.035,55.0,,,,CC
562,,,61381,,1,,Combined Cycle,,,,,,,,400.0,6372.927757,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Gas,,,,,,,,,,,3.6509190329230177,119.0,,,,,,,,,p64,4.0,127.2,40835.92707870164,160.0,0.0,13580.059150000001,2.910012674,26.1770559174747,1,0.0,1,1,2030,False,,,61381+1,atb,Gas-CC-AvgCF - Mid,thermal,953514.1529,Yes,0.003,0.035,55.0,,,,CC
563,,,61382,,1,,Combined Cycle,,,,,,,,46.18724407050383,6372.927757,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural Gas,,,,,,,,,,,3.6509190329230177,119.0,,,,,,,,,p64,4.0,127.2,40835.92707870164,160.0,0.0,13580.059150000001,2.910012674,26.1770559174747,1,0.0,1,1,2030,False,,,61382+1,atb,Gas-CC-AvgCF - Mid,thermal,953514.1529,Yes,0.003,0.035,55.0,,,,CC
