,PlantType,DataSource,ATBTechnologyType,FuelType,ThermalOrRenewableOrStorage,Capacity (MW),Heat Rate (Btu/kWh),CAPEX(2012$/MW),FOM(2012$/MW/yr),VOM(2012$/MWh),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),CO2EmRate(lb/MMBtu),Lifetime(years),FuelPrice($/MMBtu),SO2 Scrubber,CoalType,Efficiency,Nameplate Energy Capacity (MWh),Minimum Energy Capacity (MWh),Maximum Charge Rate (MW),ECAPEX(2012$/MWH),PlantCategory,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,region,Latitude,Longitude,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,GAMS Symbol
46,solarlat29.0lon-100.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,29.0,-100.625,POINT (-100.625 29),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat29.0lon-100.625p65
47,solarlat29.0lon-98.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,29.0,-98.125,POINT (-98.125 29),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat29.0lon-98.125p65
48,windlat29.0lon-95.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p67,29.0,-95.625,POINT (-95.625 29),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,windlat29.0lon-95.625p67
49,windlat29.5lon-95.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p67,29.5,-95.625,POINT (-95.625 29.5),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,windlat29.5lon-95.625p67
50,solarlat29.0lon-95.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p67,29.0,-95.625,POINT (-95.625 29),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,solarlat29.0lon-95.625p67
51,solarlat29.5lon-95.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p67,29.5,-95.625,POINT (-95.625 29.5),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,solarlat29.5lon-95.625p67
52,windlat29.5lon-103.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,29.5,-103.125,POINT (-103.125 29.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat29.5lon-103.125p61
53,windlat29.5lon-100.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,29.5,-100.625,POINT (-100.625 29.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat29.5lon-100.625p61
54,windlat30.0lon-104.375,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,30.0,-104.375,POINT (-104.375 30),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat30.0lon-104.375p61
55,windlat30.0lon-101.875,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,30.0,-101.875,POINT (-101.875 30),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat30.0lon-101.875p61
56,windlat30.5lon-103.75,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,30.5,-103.75,POINT (-103.75 30.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat30.5lon-103.75p61
57,windlat30.5lon-101.25,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,30.5,-101.25,POINT (-101.25 30.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat30.5lon-101.25p61
58,windlat31.0lon-103.75,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,31.0,-103.75,POINT (-103.75 31),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat31.0lon-103.75p61
59,windlat31.0lon-101.25,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,31.0,-101.25,POINT (-101.25 31),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat31.0lon-101.25p61
60,windlat31.5lon-104.375,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,31.5,-104.375,POINT (-104.375 31.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat31.5lon-104.375p61
61,windlat31.5lon-99.375,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,31.5,-99.375,POINT (-99.375 31.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat31.5lon-99.375p61
62,windlat32.0lon-100.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,32.0,-100.625,POINT (-100.625 32),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat32.0lon-100.625p61
63,windlat32.5lon-99.375,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,32.5,-99.375,POINT (-99.375 32.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat32.5lon-99.375p61
64,solarlat29.5lon-103.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,29.5,-103.125,POINT (-103.125 29.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat29.5lon-103.125p61
65,solarlat29.5lon-100.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p61,29.5,-100.625,POINT (-100.625 29.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,solarlat29.5lon-100.625p61
