,PlantType,DataSource,ATBTechnologyType,FuelType,ThermalOrRenewableOrStorage,Capacity (MW),Heat Rate (Btu/kWh),CAPEX(2012$/MW),FOM(2012$/MW/yr),VOM(2012$/MWh),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),CO2EmRate(lb/MMBtu),Lifetime(years),FuelPrice($/MMBtu),SO2 Scrubber,CoalType,Efficiency,Nameplate Energy Capacity (MWh),Minimum Energy Capacity (MWh),Maximum Charge Rate (MW),ECAPEX(2012$/MWH),PlantCategory,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,region,Latitude,Longitude,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,GAMS Symbol
16,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,885613.8572,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.6509190329230177,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,26.1770559174747,1,0.0,1,1,p63,,,,,,,,,,,Combined Cyclep63
17,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1593716.941,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.6509190329230177,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,33.31516714892656,1,0.0,1,1,p63,,,,,,,,,,,Combined Cycle CCSp63
18,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5259362.907,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6559195578450814,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.607853351347982,0,0.0,1,1,p63,,,,,,,,,,,Nuclearp63
19,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-120.63239536047817,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-120.63239536047817,0,-0.0,1,1,p63,,,,,,,,,,,DACp63
20,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,5797715.251,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.751942379046926,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.851981464976603,1,0.0,1,1,p64,,,,,,,,,,,Coal Steam CCSp64
21,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,885613.8572,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.6509190329230177,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,26.1770559174747,1,0.0,1,1,p64,,,,,,,,,,,Combined Cyclep64
22,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1593716.941,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.6509190329230177,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,33.31516714892656,1,0.0,1,1,p64,,,,,,,,,,,Combined Cycle CCSp64
23,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5259362.907,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6559195578450814,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.607853351347982,0,0.0,1,1,p64,,,,,,,,,,,Nuclearp64
24,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-120.63239536047817,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-120.63239536047817,0,-0.0,1,1,p64,,,,,,,,,,,DACp64
25,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,5797715.251,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.751942379046926,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.851981464976603,1,0.0,1,1,p65,,,,,,,,,,,Coal Steam CCSp65
26,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,885613.8572,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.6509190329230177,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,26.1770559174747,1,0.0,1,1,p65,,,,,,,,,,,Combined Cyclep65
27,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1593716.941,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.6509190329230177,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,33.31516714892656,1,0.0,1,1,p65,,,,,,,,,,,Combined Cycle CCSp65
28,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5259362.907,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6559195578450814,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.607853351347982,0,0.0,1,1,p65,,,,,,,,,,,Nuclearp65
29,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-120.63239536047817,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-120.63239536047817,0,-0.0,1,1,p65,,,,,,,,,,,DACp65
30,Coal Steam CCS,atb,Coal-CCS-AvgCF-Mid,Coal,thermal,650,8060.735108,5797715.251,71780.31263,8.730038023,Yes,0.062,0.085,20.5,65,1.751942379046926,wet,Bituminous,,,,,,CCS,12.0,116.35,66358.38150289017,260.0,0.0,22.851981464976603,1,0.0,1,1,p67,,,,,,,,,,,Coal Steam CCSp67
31,Combined Cycle,atb,Gas-CC-AvgCF - Mid,Natural Gas,thermal,400,6372.927757,885613.8572,13580.059150000001,2.910012674,Yes,0.003,0.035,119.0,55,3.6509190329230177,,,,,,,,CC,4.0,127.2,40835.92707870164,160.0,0.0,26.1770559174747,1,0.0,1,1,p67,,,,,,,,,,,Combined Cyclep67
32,Combined Cycle CCS,atb,Gas-CC-CCS-AvgCF - Mid,Natural Gas,thermal,340,7265.331643,1593716.941,31040.13519,6.790029573,Yes,0.003,0.035,11.9,55,3.6509190329230177,,,,,,,,CCS,4.0,108.12,34710.5380168964,136.0,0.0,33.31516714892656,1,0.0,1,1,p67,,,,,,,,,,,Combined Cycle CCSp67
33,Nuclear,atb,Nuclear - Mid,Nuclear Fuel,thermal,1117,10165.64428,5259362.907,92150.40135,1.94000845,Yes,0.0,0.0,0.0,60,0.6559195578450814,,,,,,,,Nuclear,20.0,89.36,570171.6318363717,1005.3000000000001,0.0,8.607853351347982,0,0.0,1,1,p67,,,,,,,,,,,Nuclearp67
34,DAC,handCalc,,DAC,,-500,3412.0,-19037733.54499939,0.0,-120.63239536047817,Yes,,,322.0,15,0.0,,,,,,,,,0.0,500.0,0.0,0.0,0.0,-120.63239536047817,0,-0.0,1,1,p67,,,,,,,,,,,DACp67
35,windlat27.0lon-97.5,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p65,27.0,-97.5,POINT (-97.5 27),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,windlat27.0lon-97.5p65
36,windlat27.5lon-98.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p65,27.5,-98.125,POINT (-98.125 27.5),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,windlat27.5lon-98.125p65
37,windlat28.0lon-99.375,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p65,28.0,-99.375,POINT (-99.375 28),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,windlat28.0lon-99.375p65
38,windlat28.5lon-98.75,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p65,28.5,-98.75,POINT (-98.75 28.5),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,windlat28.5lon-98.75p65
39,windlat29.0lon-100.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p65,29.0,-100.625,POINT (-100.625 29),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,windlat29.0lon-100.625p65
40,windlat29.0lon-98.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1533576.679,44620.19434,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p65,29.0,-98.125,POINT (-98.125 29),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,windlat29.0lon-98.125p65
41,solarlat26.5lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,26.5,-98.75,POINT (-98.75 26.5),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat26.5lon-98.75p65
42,solarlat27.0lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,27.0,-98.75,POINT (-98.75 27),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat27.0lon-98.75p65
43,solarlat27.5lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,27.5,-98.75,POINT (-98.75 27.5),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat27.5lon-98.75p65
44,solarlat28.0lon-99.375,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,28.0,-99.375,POINT (-99.375 28),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat28.0lon-99.375p65
45,solarlat28.5lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,826443.5995,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,28.5,-98.75,POINT (-98.75 28.5),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat28.5lon-98.75p65
