,PlantType,DataSource,ATBTechnologyType,FuelType,ThermalOrRenewableOrStorage,Capacity (MW),Heat Rate (Btu/kWh),CAPEX(2012$/MW),FOM(2012$/MW/yr),VOM(2012$/MWh),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),CO2EmRate(lb/MMBtu),Lifetime(years),FuelPrice($/MMBtu),SO2 Scrubber,CoalType,Efficiency,Nameplate Energy Capacity (MWh),Minimum Energy Capacity (MWh),Maximum Charge Rate (MW),ECAPEX(2012$/MWH),PlantCategory,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,region,Latitude,Longitude,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,GAMS Symbol
58,solarlat28.0lon-99.375,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,28.0,-99.375,POINT (-99.375 28),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat28.0lon-99.375p65
59,solarlat28.5lon-98.75,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,28.5,-98.75,POINT (-98.75 28.5),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat28.5lon-98.75p65
60,solarlat29.0lon-100.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,29.0,-100.625,POINT (-100.625 29),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat29.0lon-100.625p65
61,solarlat29.0lon-98.125,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p65,29.0,-98.125,POINT (-98.125 29),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,solarlat29.0lon-98.125p65
62,windlat29.0lon-95.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p67,29.0,-95.625,POINT (-95.625 29),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,windlat29.0lon-95.625p67
63,windlat29.5lon-95.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p67,29.5,-95.625,POINT (-95.625 29.5),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,windlat29.5lon-95.625p67
64,solarlat29.0lon-95.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p67,29.0,-95.625,POINT (-95.625 29),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,solarlat29.0lon-95.625p67
65,solarlat29.5lon-95.625,atb,Utility PV - 20% - Mid,Solar,renewable,100,0.0,909863.9628,7760.0337979999995,0.0,Yes,0.0,0.0,0.0,20,0.0,,,,,,,,Renewable,0.0,100.0,10.208981769675411,0.0,0.0,0.0,0,0.0,0,0,p67,29.5,-95.625,POINT (-95.625 29.5),66.0,67.0,67.0,11.5739826538,1.08612173738,p67,rto10,solarlat29.5lon-95.625p67
66,windlat29.5lon-103.125,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,29.5,-103.125,POINT (-103.125 29.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat29.5lon-103.125p61
67,windlat29.5lon-100.625,atb,TRG 3 - Mid,Wind,renewable,500,0.0,1553946.768,46560.20279,0.0,Yes,0.0,0.0,0.0,30,0.0,,,,,,,,Renewable,0.0,500.0,51.044908848377055,0.0,0.0,0.0,0,0.0,0,0,p61,29.5,-100.625,POINT (-100.625 29.5),60.0,61.0,61.0,26.1682725484,12.2218363972,p61,rto10,windlat29.5lon-100.625p61
