,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
14,Pattern Panhandle Wind 2 LLC,58720_G_1,58720,G,1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Carson,65.0,48065.0,181.7,0.0,2014.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58720.0,35.442778,-101.372778,,,,,,,,0.0,0.0,POINT (-101.372778 35.442778),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,181.7,18.54971987550022,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58720+1,,,,,,,,,,,,
15,Miami Wind Energy Center,58765_G_1,58765,G,1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Roberts,393.0,48393.0,288.6,0.0,2014.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58765.0,35.653889,-100.538611,,,,,,,,0.0,0.0,POINT (-100.538611 35.653889),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,288.6,29.463121387283238,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58765+1,,,,,,,,,,,,
16,Longhorn Wind,58772_G_GEN1,58772,G,GEN1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Briscoe,45.0,48045.0,200.0,0.0,2015.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58772.0,34.311111,-101.251111,,,,,,,,0.0,0.0,POINT (-101.251111 34.311111),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,200.0,20.417963539350822,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58772+GEN1,,,,,,,,,,,,
17,TX Hereford Wind,58773_G_GEN1,58773,G,GEN1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Deaf Smith,117.0,48117.0,200.0,0.0,2014.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58773.0,34.748056,-102.174444,,,,,,,,0.0,0.0,POINT (-102.174444 34.748056),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,200.0,20.417963539350822,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58773+GEN1,,,,,,,,,,,,
18,Spinning Spur Wind II,58774_G_GEN1,58774,G,GEN1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Oldham,359.0,48359.0,161.0,0.0,2014.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58774.0,35.276944,-102.682778,,,,,,,,0.0,0.0,POINT (-102.682778 35.276944),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,161.0,16.436460649177413,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58774+GEN1,,,,,,,,,,,,
19,Spinning Spur Wind III,58775_G_GEN1,58775,G,GEN1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Oldham,359.0,48359.0,194.0,0.0,2015.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58775.0,35.295,-102.721111,,,,,,,,0.0,0.0,POINT (-102.721111 35.295),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,194.0,19.8054246331703,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,58775+GEN1,,,,,,,,,,,,
20,Mariah del Norte,59005_G_MAR1,59005,G,MAR1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Parmer,369.0,48369.0,230.4,0.0,2016.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59005.0,34.6675,-102.577778,,,,,,,,0.0,0.0,POINT (-102.577778 34.6675),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,230.4,23.521493997332147,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59005+MAR1,,,,,,,,,,,,
21,"Colbec's Corner, LLC",59068_G_GVII,59068,G,GVII,,Onshore Wind,,ERC_PHDL,Texas,48.0,Carson,65.0,48065.0,200.0,0.0,2016.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59068.0,35.254184,-101.186622,,,,,,,,0.0,0.0,POINT (-101.186622 35.254184),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,200.0,20.417963539350822,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59068+GVII,,,,,,,,,,,,
22,South Plains Wind Phase I,59384_G_1,59384,G,1,,Onshore Wind,,ERC_PHDL,Texas,48.0,Floyd,153.0,48153.0,200.0,0.0,2015.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59384.0,34.080556,-101.323611,,,,,,,,0.0,0.0,POINT (-101.323611 34.080556),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,200.0,20.417963539350822,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59384+1,,,,,,,,,,,,
23,TX Jumbo Road Wind,59621_G_JRWND,59621,G,JRWND,,Onshore Wind,,ERC_PHDL,Texas,48.0,Deaf Smith,117.0,48117.0,299.7,0.0,2015.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,59621.0,34.72,-102.253333,,,,,,,,0.0,0.0,POINT (-102.253333 34.72),47.0,48.0,48.0,15.9627257016,8.88067499736,p48,rto8,p60,0.0,299.7,30.596318363717202,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,59621+JRWND,,,,,,,,,,,,
