GAMS Symbol,57197+1,58009+1,58009+2,58027+1,58068+1,58537+1,58716+1,59204+OCIA3,59205+OCIA5,60472+CPS1,57699+AES1,58013+PV,61205+PV1,60427+CSS1,60774+GEN1,59207+OCIA7,60372+LSPV1,60581+UCTX,58488+1,58710+BRLA,58717+1,59206+OCIA6,59994+ROSEK,60044+BKTH1,60436+1,60682+PEARL,60989+PV1
region,p65,p65,p65,p65,p65,p65,p65,p65,p65,p65,p64,p64,p64,p63,p63,p60,p60,p62,p61,p61,p61,p61,p61,p61,p61,p61,p61
2040-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 08:00:00,1.261851031333208,1.1885394692420959,1.0611959546804428,2.24157113134861,2.24157113134861,4.721950379759074,0.41126996576786046,0.5140874572098255,10.458391904830933,0.09347044676542282,7.174570262432098,0.408531653881073,0.3603641465306282,0.40393707156181335,4.737043082714081,18.42532902956009,16.610974073410034,34.82865393161774,3.189229965209961,6.675110855698585,12.150307059288025,24.380057752132416,34.81225032359362,57.88843685388565,27.514636605978012,11.609551310539246,13.385847210884094
2040-01-01 09:00:00,1.2783856429159641,2.7340095043182373,2.4410799145698547,4.966003131866455,4.966003131866455,11.281736093759537,0.4166590243577957,0.5208237804472446,6.245535239577293,0.09469523280858994,16.824971437454224,0.7141260504722595,0.7809710204601288,1.109887719154358,8.401712155342102,52.52399444580078,46.59167528152466,76.30387544631958,5.1338547468185425,15.008258128166199,21.338129925727845,53.412712812423706,78.27154487371445,105.95286738872528,60.28006160259247,25.434625148773193,25.162753462791443
2040-01-01 10:00:00,4.141032859683037,3.7763601303100582,3.3717501163482666,6.789823186397553,6.789823186397553,21.147199803590777,1.3496699690818788,1.6870874613523483,12.438786774873734,0.30674317479133606,21.695895195007324,0.9184540987014771,1.0655847787857056,1.3966761827468872,11.30547479391098,70.74970602989197,68.45603585243225,107.99252986907959,6.888024210929871,21.44105612039566,28.041280102729797,75.59477090835571,111.82007744908333,145.61729681491852,85.31409859657288,35.99750995635986,35.13270914554596
2040-01-01 11:00:00,7.227600306272507,4.36144495010376,3.894147276878357,7.805292123556137,7.805292123556137,29.474942845106128,2.3556623220443726,2.9445779025554657,33.69845449924469,0.5353778004646301,23.535107374191284,0.995821350812912,1.170369565486908,1.571557879447937,12.321849775314332,78.55305671691895,77.26891040802002,119.95493173599243,7.856518030166626,23.934042394161224,30.877077555656435,83.9684522151947,124.82157871127129,162.20574176311493,94.76439607143402,39.98497724533081,39.60631489753723
2040-01-01 12:00:00,9.513734757900238,4.562747955322266,4.073882102966309,8.154918068647385,8.154918068647385,31.406206607818607,3.1007728099823,3.8759660124778748,53.16781401634216,0.7047210931777954,23.360048532485962,1.0092436373233795,1.1756208837032318,1.6267927885055542,12.386900329589844,80.75411915779114,80.08425235748291,121.80966138839722,7.9642653465271,24.355924320220947,31.08327012062073,85.26676297187805,127.02179074287415,164.270143866539,96.2296324968338,40.60322046279907,40.300822257995605
2040-01-01 13:00:00,9.001673966646194,4.458970546722412,3.981223702430725,7.953016608953476,7.953016608953476,27.967119079828265,2.9338789224624637,3.6673486530780792,63.053691387176514,0.6667906641960144,21.27441644668579,0.9250469982624054,1.067120611667633,1.541122555732727,11.45740567445755,77.76142358779907,76.64784789085388,116.830775141716,7.511623501777649,23.43543289899826,28.412045288085938,81.7815425992012,122.22121462225914,156.51601791381836,92.29631236195564,38.943591713905334,38.616743683815
