,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol
271,Lake Hubbard,3452_B_1,3452,B,1,2313.0,O/G Steam,,ERC_REST,Texas,48,Dallas,113,48113,392.0,12851.0,1970.0,9999,wall,dry,N,Natural Gas,,,,BOOS,,,,,,,,,1.16,0.11788,0.11788,0.11788,0.11788,,,,,,,,,,,,Natural Gas,3452.0,32.8358,-96.5458,,,,,,,2.381000415400321,117.0,POINT (-96.5458 32.8358),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,90.552,40019.20853712761,156.8,0.0,37800.0,4.47,35.068236338309525,1,0.0,1,1,False,False,False,False,3452+1
272,Lake Hubbard,3452_B_2,3452,B,2,2314.0,O/G Steam,,ERC_REST,Texas,48,Dallas,113,48113,523.0,12222.0,1973.0,9999,wall,dry,N,Natural Gas,,,,LNBO,SCR,2002.0,,,,,,,1.16,0.01991,0.01991,0.01991,0.01991,,,,,,,,,,,,Natural Gas,3452.0,32.8358,-96.5458,,,,,,,2.381000415400321,117.0,POINT (-96.5458 32.8358),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,120.813,53392.9746554024,209.20000000000002,0.0,37800.0,4.47,33.57058707702272,1,0.0,1,1,False,False,False,False,3452+2
273,Mountain Creek,3453_B_6,3453,B,6,2318.0,O/G Steam,,ERC_REST,Texas,48,Dallas,113,48113,122.0,12752.0,1956.0,9999,wall,dry,N,Natural Gas,,,,CM + FR + LNB + NH3,,,,,,,,,1.157,0.10243,0.10243,0.10243,0.10243,,,,,,,,,,,,Natural Gas,3453.0,32.7231,-96.9358,,,,,,,2.381000415400321,117.0,POINT (-96.9358 32.7231),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,28.182000000000002,12454.957759004,48.800000000000004,0.0,37800.0,4.47,34.83251729718489,1,0.0,1,1,False,False,False,False,3453+6
274,Mountain Creek,3453_B_7,3453,B,7,2319.0,O/G Steam,,ERC_REST,Texas,48,Dallas,113,48113,118.0,13034.0,1958.0,9999,wall,dry,N,Natural Gas,,,,CM + FR + LNB + NH3,,,,,,,,,1.157,0.18167,0.18167,0.18167,0.18167,,,,,,,,,,,,Natural Gas,3453.0,32.7231,-96.9358,,,,,,,2.381000415400321,117.0,POINT (-96.9358 32.7231),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,27.258000000000003,12046.598488216985,47.2,0.0,37800.0,4.47,35.50395941432778,1,0.0,1,1,False,False,False,False,3453+7
275,Mountain Creek,3453_B_8,3453,B,8,2320.0,O/G Steam,,ERC_REST,Texas,48,Dallas,113,48113,568.0,11653.0,1967.0,9999,tangential,,N,Natural Gas,,,,NH3,SCR,2003.0,,,,,,,1.157,0.02241,0.02241,0.02241,0.02241,,,,,,,,,,,,Natural Gas,3453.0,32.7231,-96.9358,,,,,,,2.381000415400321,117.0,POINT (-96.9358 32.7231),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,131.208,57987.01645175633,227.20000000000002,0.0,37800.0,4.47,32.21579784065994,1,0.0,1,1,False,False,False,False,3453+8
276,Graham,3490_B_1,3490,B,1,2408.0,O/G Steam,,ERC_WEST,Texas,48,Young,503,48503,234.0,12596.0,1960.0,9999,wall,dry,N,Natural Gas,,,,CM,,,,,,,,,1.16,0.26462,0.26462,0.26462,0.26462,,,,,,,,,,,,Natural Gas,3490.0,33.1344,-98.6117,,,,,,,2.381000415400321,117.0,POINT (-98.6117 33.1344),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,54.054,23889.01734104046,93.60000000000001,0.0,37800.0,4.47,34.46108123238244,1,0.0,1,1,False,False,False,False,3490+1
277,Graham,3490_B_2,3490,B,2,2409.0,O/G Steam,,ERC_WEST,Texas,48,Young,503,48503,390.0,12238.0,1969.0,9999,wall,dry,N,Natural Gas,,,,BF + CM + FR + OFA,,,,,,,,,1.16,0.27322,0.27322,0.27322,0.27322,,,,,,,,,,,,Natural Gas,3490.0,33.1344,-98.6117,,,,,,,2.381000415400321,117.0,POINT (-98.6117 33.1344),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,90.09,39815.028901734106,156.0,0.0,37800.0,4.47,33.60868308366913,1,0.0,1,1,False,False,False,False,3490+2
278,Handley,3491_B_3,3491,B,3,2413.0,O/G Steam,,ERC_REST,Texas,48,Tarrant,439,48439,395.0,14029.0,1963.0,9999,wall,dry,N,Natural Gas,,,,CM,SCR,2004.0,,,,,,,1.157,0.03659,0.03659,0.03659,0.03659,,,,,,,,,,,,Natural Gas,3491.0,32.7283,-97.2192,,,,,,,2.381000415400321,117.0,POINT (-97.2192 32.7283),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,91.245,40325.47799021787,158.0,0.0,37800.0,4.47,37.8730548276511,1,0.0,1,1,False,False,False,False,3491+3
279,Handley,3491_B_4,3491,B,4,2414.0,O/G Steam,,ERC_REST,Texas,48,Tarrant,439,48439,435.0,14014.0,1976.0,9999,wall,dry,N,Natural Gas,,,,,SCR,2003.0,,,,,,,0.5,0.01687,0.01687,0.01687,0.01687,,,,,,,,,,,,Natural Gas,3491.0,32.7283,-97.2192,,,,,,,2.381000415400321,117.0,POINT (-97.2192 32.7283),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,100.485,44409.070698088035,174.0,0.0,37800.0,4.47,37.8373398214201,1,0.0,1,1,False,False,False,False,3491+4
280,Handley,3491_B_5,3491,B,5,2415.0,O/G Steam,,ERC_REST,Texas,48,Tarrant,439,48439,435.0,14074.0,1977.0,9999,wall,dry,N,Natural Gas,,,,,SCR,2003.0,,,,,,,0.5,0.01524,0.01524,0.01524,0.01524,,,,,,,,,,,,Natural Gas,3491.0,32.7283,-97.2192,,,,,,,2.381000415400321,117.0,POINT (-97.2192 32.7283),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,100.485,44409.070698088035,174.0,0.0,37800.0,4.47,37.98019984634412,1,0.0,1,1,False,False,False,False,3491+5
281,Stryker Creek,3504_B_1,3504,B,1,2429.0,O/G Steam,,ERC_REST,Texas,48,Cherokee,73,48073,167.0,12446.0,1958.0,9999,wall,dry,N,Natural Gas,,,,LNB,,,,,,,,,1.16,0.15225,0.15225,0.15225,0.15225,,,,,,,,,,,,Natural Gas,3504.0,31.93985,-94.989834,,,,,,,2.381000415400321,117.0,POINT (-94.989834 31.93985),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,38.577000000000005,17048.999555357936,66.8,0.0,37800.0,4.47,34.10393117007239,1,0.0,1,1,False,False,False,False,3504+1
282,Stryker Creek,3504_B_2,3504,B,2,2430.0,O/G Steam,,ERC_REST,Texas,48,Cherokee,73,48073,502.0,12382.0,1965.0,9999,tangential,,N,Natural Gas,,,,LNC2,,,,,,,,,1.16,0.08906,0.08906,0.08906,0.08906,,,,,,,,,,,,Natural Gas,3504.0,31.93985,-94.989834,,,,,,,2.381000415400321,117.0,POINT (-94.989834 31.93985),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,115.962,51249.08848377056,200.8,0.0,37800.0,4.47,33.95154714348678,1,0.0,1,1,False,False,False,False,3504+2
283,Trinidad (TX),3507_B_9,3507,B,9,2435.0,O/G Steam,,ERC_REST,Texas,48,Henderson,213,48213,235.0,12557.0,1965.0,9999,tangential,,N,Natural Gas,,,,,,,,,,,,,1.16,0.17177,0.17177,0.17177,0.17177,,,,,,,,,,,,Natural Gas,3507.0,32.124519,-96.101277,,,,,,,2.381000415400321,117.0,POINT (-96.101277 32.124519),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,54.285000000000004,23991.107158737217,94.0,0.0,37800.0,4.47,34.368222216181834,1,0.0,1,1,False,False,False,False,3507+9
284,Ray Olinger,3576_B_BW2,3576,B,BW2,2464.0,O/G Steam,,ERC_REST,Texas,48,Collin,85,48085,107.0,13574.0,1971.0,9999,wall,dry,N,Natural Gas,,,,FR + OFA,,,,,,,,,0.006,0.05129,0.05129,0.05129,0.05129,,,,,,,,,,,,Natural Gas,3576.0,33.068055,-96.452481,,,,,,,2.381000415400321,117.0,POINT (-96.45248100000001 33.068055),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,24.717000000000002,10923.61049355269,42.800000000000004,0.0,37800.0,4.47,36.78969963864395,1,0.0,1,1,False,False,False,False,3576+BW2
285,Ray Olinger,3576_B_BW3,3576,B,BW3,2465.0,O/G Steam,,ERC_REST,Texas,48,Collin,85,48085,138.0,13386.0,1975.0,9999,wall,dry,N,Natural Gas,,,,FR + LNB + LNBO + OFA,,,,,,,,,0.006,0.0498,0.0498,0.0498,0.0498,,,,,,,,,,,,Natural Gas,3576.0,33.068055,-96.452481,,,,,,,2.381000415400321,117.0,POINT (-96.45248100000001 33.068055),62,63,63,27.0123565705,13.5558014155,p63,rto10,p63,7.0,31.878,14088.394842152067,55.2,0.0,37800.0,4.47,36.342071560548696,1,0.0,1,1,False,False,False,False,3576+BW3
